SampleNumber,Species,CulmenLength_mm,CulmenDepth_mm,FlipperLength_mm,BodyMass_g,Sex
191,Chinstrap,53.5,19.9,205,4500,MALE
192,Chinstrap,49,19.5,210,3950,MALE
193,Chinstrap,46.2,17.5,187,3650,FEMALE
194,Chinstrap,50.9,19.1,196,3550,MALE
195,Chinstrap,45.5,17,196,3500,FEMALE
196,Chinstrap,50.9,17.9,196,3675,FEMALE
197,Chinstrap,50.8,18.5,201,4450,MALE
198,Chinstrap,50.1,17.9,190,3400,FEMALE
199,Chinstrap,49,19.6,212,4300,MALE
200,Chinstrap,51.5,18.7,187,3250,MALE
201,Chinstrap,49.8,17.3,198,3675,FEMALE
202,Chinstrap,48.1,16.4,199,3325,FEMALE
203,Chinstrap,51.4,19,201,3950,MALE
204,Chinstrap,45.7,17.3,193,3600,FEMALE
205,Chinstrap,50.7,19.7,203,4050,MALE
206,Chinstrap,42.5,17.3,187,3350,FEMALE
207,Chinstrap,52.2,18.8,197,3450,MALE
208,Chinstrap,45.2,16.6,191,3250,FEMALE
209,Chinstrap,49.3,19.9,203,4050,MALE
210,Chinstrap,50.2,18.8,202,3800,MALE
211,Chinstrap,45.6,19.4,194,3525,FEMALE
212,Chinstrap,51.9,19.5,206,3950,MALE
213,Chinstrap,46.8,16.5,189,3650,FEMALE
214,Chinstrap,45.7,17,195,3650,FEMALE
215,Chinstrap,55.8,19.8,207,4000,MALE
216,Chinstrap,43.5,18.1,202,3400,FEMALE
217,Chinstrap,49.6,18.2,193,3775,MALE
218,Chinstrap,50.8,19,210,4100,MALE
219,Chinstrap,50.2,18.7,198,3775,FEMALE
220,Gentoo,46.1,13.2,211,4500,FEMALE
221,Gentoo,50,16.3,230,5700,MALE
222,Gentoo,48.7,14.1,210,4450,FEMALE
223,Gentoo,50,15.2,218,5700,MALE
224,Gentoo,47.6,14.5,215,5400,MALE
225,Gentoo,46.5,13.5,210,4550,FEMALE
226,Gentoo,45.4,14.6,211,4800,FEMALE
227,Gentoo,46.7,15.3,219,5200,MALE
228,Gentoo,43.3,13.4,209,4400,FEMALE
229,Gentoo,46.8,15.4,215,5150,MALE
230,Gentoo,40.9,13.7,214,4650,FEMALE
231,Gentoo,49,16.1,216,5550,MALE
232,Gentoo,45.5,13.7,214,4650,FEMALE
233,Gentoo,48.4,14.6,213,5850,MALE
234,Gentoo,45.8,14.6,210,4200,FEMALE
235,Gentoo,49.3,15.7,217,5850,MALE
236,Gentoo,42,13.5,210,4150,FEMALE
237,Gentoo,49.2,15.2,221,6300,MALE
238,Gentoo,46.2,14.5,209,4800,FEMALE
239,Gentoo,48.7,15.1,222,5350,MALE
240,Gentoo,50.2,14.3,218,5700,MALE
241,Gentoo,45.1,14.5,215,5000,FEMALE
242,Gentoo,46.5,14.5,213,4400,FEMALE
243,Gentoo,46.3,15.8,215,5050,MALE
244,Gentoo,42.9,13.1,215,5000,FEMALE
245,Gentoo,46.1,15.1,215,5100,MALE
246,Gentoo,44.5,14.3,216,4100,FEMALE
247,Gentoo,47.8,15,215,5650,MALE
248,Gentoo,48.2,14.3,210,4600,FEMALE
249,Gentoo,50,15.3,220,5550,MALE
250,Gentoo,47.3,15.3,222,5250,MALE
251,Gentoo,42.8,14.2,209,4700,FEMALE
252,Gentoo,45.1,14.5,207,5050,FEMALE
253,Gentoo,59.6,17,230,6050,MALE
254,Gentoo,49.1,14.8,220,5150,FEMALE
255,Gentoo,48.4,16.3,220,5400,MALE
256,Gentoo,42.6,13.7,213,4950,FEMALE
257,Gentoo,44.4,17.3,219,5250,MALE
258,Gentoo,44,13.6,208,4350,FEMALE
259,Gentoo,48.7,15.7,208,5350,MALE
260,Gentoo,42.7,13.7,208,3950,FEMALE
261,Gentoo,49.6,16,225,5700,MALE
262,Gentoo,45.3,13.7,210,4300,FEMALE
263,Gentoo,49.6,15,216,4750,MALE
264,Gentoo,50.5,15.9,222,5550,MALE
265,Gentoo,43.6,13.9,217,4900,FEMALE
266,Gentoo,45.5,13.9,210,4200,FEMALE
267,Gentoo,50.5,15.9,225,5400,MALE
268,Gentoo,44.9,13.3,213,5100,FEMALE
269,Gentoo,45.2,15.8,215,5300,MALE
270,Gentoo,46.6,14.2,210,4850,FEMALE
271,Gentoo,48.5,14.1,220,5300,MALE
272,Gentoo,45.1,14.4,210,4400,FEMALE
273,Gentoo,50.1,15,225,5000,MALE
274,Gentoo,46.5,14.4,217,4900,FEMALE
275,Gentoo,45,15.4,220,5050,MALE
276,Gentoo,43.8,13.9,208,4300,FEMALE
277,Gentoo,45.5,15,220,5000,MALE
278,Gentoo,43.2,14.5,208,4450,FEMALE
279,Gentoo,50.4,15.3,224,5550,MALE
280,Gentoo,45.3,13.8,208,4200,FEMALE
281,Gentoo,46.2,14.9,221,5300,MALE
282,Gentoo,45.7,13.9,214,4400,FEMALE
283,Gentoo,54.3,15.7,231,5650,MALE
284,Gentoo,45.8,14.2,219,4700,FEMALE
285,Gentoo,49.8,16.8,230,5700,MALE
286,Gentoo,46.2,14.4,214,4650,FEMALE
287,Gentoo,49.5,16.2,229,5800,MALE
288,Gentoo,43.5,14.2,220,4700,FEMALE
289,Gentoo,50.7,15,223,5550,MALE
290,Gentoo,47.7,15,216,4750,FEMALE
291,Gentoo,46.4,15.6,221,5000,MALE
292,Gentoo,48.2,15.6,221,5100,MALE
293,Gentoo,46.5,14.8,217,5200,FEMALE
294,Gentoo,46.4,15,216,4700,FEMALE
295,Gentoo,48.6,16,230,5800,MALE
296,Gentoo,47.5,14.2,209,4600,FEMALE
297,Gentoo,51.1,16.3,220,6000,MALE
298,Gentoo,45.2,13.8,215,4750,FEMALE
299,Gentoo,45.2,16.4,223,5950,MALE
300,Gentoo,49.1,14.5,212,4625,FEMALE
301,Gentoo,52.5,15.6,221,5450,MALE
302,Gentoo,47.4,14.6,212,4725,FEMALE
303,Gentoo,50,15.9,224,5350,MALE
304,Gentoo,44.9,13.8,212,4750,FEMALE
305,Gentoo,50.8,17.3,228,5600,MALE
306,Gentoo,43.4,14.4,218,4600,FEMALE
307,Gentoo,51.3,14.2,218,5300,MALE
308,Gentoo,47.5,14,212,4875,FEMALE
309,Gentoo,52.1,17,230,5550,MALE
310,Gentoo,47.5,15,218,4950,FEMALE
311,Gentoo,52.2,17.1,228,5400,MALE
312,Gentoo,45.5,14.5,212,4750,FEMALE
313,Gentoo,49.5,16.1,224,5650,MALE
314,Gentoo,44.5,14.7,214,4850,FEMALE
315,Gentoo,50.8,15.7,226,5200,MALE
316,Gentoo,49.4,15.8,216,4925,MALE
317,Gentoo,46.9,14.6,222,4875,FEMALE
318,Gentoo,48.4,14.4,203,4625,FEMALE
319,Gentoo,51.1,16.5,225,5250,MALE
320,Gentoo,48.5,15,219,4850,FEMALE
321,Gentoo,55.9,17,228,5600,MALE
322,Gentoo,47.2,15.5,215,4975,FEMALE
323,Gentoo,49.1,15,228,5500,MALE
324,Gentoo,47.3,13.8,216,4725,FEMALE
325,Gentoo,46.8,16.1,215,5500,MALE
326,Gentoo,41.7,14.7,210,4700,FEMALE
327,Gentoo,53.4,15.8,219,5500,MALE
328,Gentoo,43.3,14,208,4575,FEMALE
329,Gentoo,48.1,15.1,209,5500,MALE
330,Gentoo,50.5,15.2,216,5000,FEMALE
331,Gentoo,49.8,15.9,229,5950,MALE
332,Gentoo,43.5,15.2,213,4650,FEMALE
333,Gentoo,51.5,16.3,230,5500,MALE
334,Gentoo,46.2,14.1,217,4375,FEMALE
335,Gentoo,55.1,16,230,5850,MALE
336,Gentoo,44.5,15.7,217,4875,FEMALE
337,Gentoo,48.8,16.2,222,6000,MALE
338,Gentoo,47.2,13.7,214,4925,FEMALE
339,Gentoo,46.8,14.3,215,4850,FEMALE
340,Gentoo,50.4,15.7,222,5750,MALE
341,Gentoo,45.2,14.8,212,5200,FEMALE
342,Gentoo,49.9,16.1,213,5400,MALE
